"Banco","Liquidez","Vencimento","Rentabilidade","Rating","Agência de Rating","Aplicação Mínima","Rende mais que a poupança?",
"Pine","1080 dias","06/01/2022","117% CDI","BBB","Rating","5.000,00","42.07%","Investir"
"BS2","1440 dias","01/01/2023","117% CDI","BBB","Rating","5.000,00","42.07%","Investir"
"Fibra","1880 dias","16/03/2024","116.5% CDI","BBB-","Rating","5.000,00","41.46%","Investir"
"Fibra","1440 dias","01/01/2023","116% CDI","BBB-","Rating","5.000,00","40.86%","Investir"
"Pan","1440 dias","01/01/2023","116% CDI","A","Rating","5.000,00","40.86%","Investir"
"Pine","1440 dias","01/01/2023","116% CDI","BBB","Rating","5.000,00","40.86%","Investir"
"BS2","1080 dias","06/01/2022","116% CDI","BBB","Rating","5.000,00","40.86%","Investir"
"Fibra","1080 dias","06/01/2022","115% CDI","BBB-","Rating","5.000,00","39.64%","Investir"
"Pan","1080 dias","06/01/2022","115% CDI","A","Rating","5.000,00","39.64%","Investir"
"Fibra","900 dias","10/07/2021","113.5% CDI","BBB-","Rating","5.000,00","37.82%","Investir"
"Original","720 dias","11/01/2021","114.5% CDI","A-","Rating","5.000,00","34.95%","Investir"
"BMG","1440 dias","01/01/2023","111% CDI","Baa3","Rating","5.000,00","34.79%","Investir"
"Pine","720 dias","11/01/2021","114% CDI","BBB","Rating","5.000,00","34.36%","Investir"
"Fibra","720 dias","11/01/2021","113.5% CDI","BBB-","Rating","5.000,00","33.77%","Investir"
"BMG","1260 dias","05/07/2022","110% CDI","Baa3","Rating","5.000,00","33.57%","Investir"
"BMG","1080 dias","06/01/2022","109% CDI","Baa3","Rating","5.000,00","32.36%","Investir"
"Pan","720 dias","11/01/2021","112% CDI","A","Rating","5.000,00","32%","Investir"
"BMG","900 dias","10/07/2021","108% CDI","Baa3","Rating","5.000,00","31.14%","Investir"
"Modal","720 dias","11/01/2021","109% CDI","Baa2","Rating","5.000,00","28.46%","Investir"
"BS2","360 dias","17/01/2020","111% CDI","BBB","Rating","5.000,00","26.86%","Investir"
"BMG","720 dias","11/01/2021","107% CDI","Baa3","Rating","5.000,00","26.11%","Investir"
"GMAC","1080 dias","06/01/2022","103% CDI","AAA","Rating","5.000,00","25.07%","Investir"
"Haitong","720 dias","11/01/2021","106% CDI","AA+","Rating","5.000,00","24.93%","Investir"
"Original","360 dias","17/01/2020","109% CDI","A-","Rating","5.000,00","24.57%","Investir"
"Pine","360 dias","17/01/2020","108% CDI","BBB","Rating","5.000,00","23.43%","Investir"
"Modal","360 dias","17/01/2020","107% CDI","Baa2","Rating","5.000,00","22.29%","Investir"
"Paraná Banco","720 dias","11/01/2021","103% CDI","AA+","Rating","5.000,00","21.39%","Investir"
"GMAC","720 dias","11/01/2021","102% CDI","AAA","Rating","5.000,00","20.21%","Investir"
"Haitong","360 dias","17/01/2020","105% CDI","AA+","Rating","5.000,00","20%","Investir"
"Pan","360 dias","17/01/2020","103% CDI","A","Rating","5.000,00","17.71%","Investir"
"BMG","360 dias","17/01/2020","103% CDI","Baa3","Rating","5.000,00","17.71%","Investir"
"GMAC","360 dias","17/01/2020","101% CDI","AAA","Rating","5.000,00","15.43%","Investir"
"Daycoval","360 dias","17/01/2020","100.5% CDI","AA+","Rating","20.000,00","14.86%","Investir"
"Original","180 dias","21/07/2019","103% CDI","A-","Rating","5.000,00","14.04%","Investir"
"Pine","180 dias","21/07/2019","102% CDI","BBB","Rating","5.000,00","12.93%","Investir"
"Pan","Diária","23/01/2019","100% CDI","A","Rating","5.000,00","10.71%","Investir"
"Morgan Stanley","Diária","23/01/2019","95% CDI","AAA","Rating","1.144,56","5.18%","Investir"
"Morgan Stanley","Diária","23/01/2019","95% CDI","AAA","Rating","1.005,05","5.18%","Investir"
"Daycoval","Diária","23/01/2019","92% CDI","AA+","Rating","1.000,00","1.86%","Investir"
"Mizuho","Diária","23/01/2019","91.5% CDI","Aaa","Rating","1.000,00","1.3%","Investir"
"CEF","Diária","23/01/2019","91.5% CDI","AAA","Rating","1.000.000,00","1.3%","Investir"
"BMG","1482 dias","12/02/2023","9.25%","Baa3","Rating","1.000,00","-","Investir"
"BMG","900 dias","10/07/2021","8.05%","Baa3","Rating","5.000,00","-","Investir"
"Original","720 dias","11/01/2021","8.1%","A-","Rating","5.000,00","-","Investir"
"Pan","720 dias","11/01/2021","8.05%","A","Rating","5.000,00","-","Investir"
"Pine","720 dias","11/01/2021","7.95%","BBB","Rating","5.000,00","-","Investir"
"BMG","720 dias","11/01/2021","7.75%","Baa3","Rating","5.000,00","-","Investir"
"BS2","360 dias","17/01/2020","7.1%","BBB","Rating","5.000,00","-","Investir"
"Original","360 dias","17/01/2020","6.85%","A-","Rating","5.000,00","-","Investir"
"Pine","720 dias","11/01/2021","IPCA + 3.8%","BBB","Rating","5.000,00","-","Investir"
"Pan","720 dias","11/01/2021","IPCA + 3.7%","A","Rating","5.000,00","-","Investir"
"Original","720 dias","11/01/2021","IPCA + 3.65%","A-","Rating","5.000,00","-","Investir"
"BMG","900 dias","10/07/2021","IPCA + 3.25%","Baa3","Rating","5.000,00","-","Investir"
"Pine","360 dias","17/01/2020","IPCA + 2.85%","BBB","Rating","5.000,00","-","Investir"
"Original","360 dias","17/01/2020","IPCA + 2.55%","A-","Rating","5.000,00","-","Investir"
"Pan","360 dias","17/01/2020","IPCA + 2.25%","A","Rating","5.000,00","-","Investir"
