"Banco","Liquidez","Vencimento","Rentabilidade","Rating","Agência de Rating","Aplicação Mínima","Rende mais que a poupança?",
"Fibra","720 dias","11/01/2021","97% CDI","BBB-","Rating","5.000,00","38.57%","Investir"
"Original","1080 dias","06/01/2022","96% CDI","A-","Rating","5.000,00","37.14%","Investir"
"Original","720 dias","11/01/2021","94.5% CDI","A-","Rating","5.000,00","35%","Investir"
"Original","360 dias","17/01/2020","92% CDI","A-","Rating","5.000,00","31.43%","Investir"
"Original","180 dias","21/07/2019","90% CDI","A-","Rating","5.000,00","28.57%","Investir"
"ABN","1080 dias","06/01/2022","89% CDI","AAA","Rating","5.000,00","27.14%","Investir"
"ABN","900 dias","10/07/2021","88.5% CDI","AAA","Rating","5.000,00","26.43%","Investir"
"ABN","360 dias","17/01/2020","88% CDI","AAA","Rating","5.000,00","25.71%","Investir"
"ABN","180 dias","21/07/2019","87% CDI","AAA","Rating","5.000,00","24.29%","Investir"
"Fibra","180 dias","21/07/2019","87% CDI","BBB-","Rating","5.000,00","24.29%","Investir"
"ABN","90 dias","22/04/2019","86% CDI","AAA","Rating","5.000,00","22.86%","Investir"
